year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",72.00,5.00,2.46,1.00,0.73,0.00,0.81,0.00,0.00,672.00,61.00,574.00,20.00,0.00,17.00
2023,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.00,7.00,4.25,0.00,1.00,0.00,1.75,0.00,0.00,348.00,252.00,0.00,33.00,0.00,63.00
2023,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",95.00,10.00,5.94,0.00,1.06,0.00,3.00,0.00,0.00,859.00,536.00,0.00,47.00,0.00,276.00
2023,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",23.00,2.00,0.56,0.00,0.00,0.00,1.44,1.00,0.00,75.00,9.00,0.00,0.00,0.00,66.00
2023,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2111.00,256.00,76.88,8.75,52.43,0.00,117.94,1.00,0.00,21424.00,8906.00,732.00,1487.00,0.00,10299.00
2023,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",56.00,7.00,3.00,1.00,1.21,0.00,1.79,0.00,2.00,325.00,168.00,28.00,46.00,0.00,83.00
2023,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",48.00,13.00,5.09,0.00,7.07,0.00,0.85,0.00,0.00,910.00,547.00,0.00,286.00,0.00,77.00
2023,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",82.00,12.00,4.96,0.00,2.89,0.00,4.15,1.00,0.00,684.00,292.00,0.00,152.00,0.00,240.00
2023,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",33.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,852.00,36.00,816.00,0.00,0.00,0.00
2023,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",35.00,6.00,1.76,0.00,0.29,0.00,3.95,0.00,0.00,1216.00,961.00,0.00,77.00,0.00,178.00
